keyword,review,sentiment
입력,"시중에 나온 다른 식단 어플에 비해, 식단 등록이 불편함. 대략적인 메뉴나 컬리에서 구매할 수 있는 상품 외에도 프랜차이즈 식당의 메뉴 칼로리는 제시할 수 있어야 하지 않을까요. 두찜의 실비한우곱찜닭 루션만 검색 안됨. 곱도리탕으로 하려고 해도 검색 안됨. 그래서 곱창전골에 닭가슴살 추가해서 입력함. 컬리 포인트 외에 구체적인 차별점이나 매력 모르겠음 + 그리고 컬리 연계 장점을 살려서, 일주일 한달 단위로 식단을 스스로 계획할 수 있게 하고, 그 계획을 컬리 상품으로 구성해서 탄단지 분석해주는 식으로 하면 좋을 듯",negative
입력,"건강한 밀키트가 많고 음식 퀄리티가 높습니다. 어플 사용하기 좋고, 통신사 할인이랑 페이코 할인까지 들어가면 엄청 저렴하게 구매할 수 있어서 자주 이용합니다. 로그인할 때 카카오톡 1초/자동로그인이 안 되서 아쉽습니다. (간편 로그인 정보저장 체크해도 매번 아이디 비번 입력해야하네요~ 이 부분은 개선되면 좋겠습니다.)",neutral
입력,카카오 간편로그인 저장이 안되서 매번 입력해야해서 불편합니다.,negative
입력,느리고 카카오로그인시 매번 아이디비번입력하고 인증해야하고.. 너무 귀찮아서 세일할때말고는 안오게되요 개선좀 해주세요,negative
입력,"공동현관 출입관련 ""비밀번호 입력""을 선택후 공동현관출입방법 기재시 출입방법을 기술해도 저장하기 누르면 ""공동현관 비밀번호""를 입력하라는 에러메세지가 계속 뜸.",neutral
입력,별 하나도 아깝습니다. 페이코에서 프로모션하길래 구매해보려했으나 회원가입 계속 안됨..결국 네이버 아이디 연동.. 결제금액 바로 반영 안됨.. 현관비번 입력했으나 계속 입력하라고 함.. 빽도 안됨.. 다시 몇번 누르니 아예 밖으로 튕겨 나옴.. 이짓을 세번 반복하고.. 구매포기하고 앱을 지웁니다.. 앱을 개발하셨으면 관련자분들이 좀 새 구매자라고 생각하시고 여러번 테스트를 좀 해보세요.,neutral
입력,제대로 작동 안하는 기능들이 좀 있음 공동현관 비번 입력사항이 나타나지 않음,neutral
입력,앱 ui고 뭐고간에 기본적으로 검색어 입력하면 계속 튕기고 장바구니합계 다르게 나오고 진짜 진지하게 롯ㄷ앱 이후로 속터지는 앱발견 업체 바꾸시던지 개선 좀 해주세요,neutral
입력,새벽배송 주문시 비번 입력하는데 계속오류나서 상담하니 비밀번호가 아니고 기타에서 입력하라네요~현관비밀번호지 그게 현관 기타입니까?누가 알겠어요 주소 7번 치다 화나서 35할인땜에 하긴했는데 큰세일없음 주문안하게 생겨먹은 앱이네요,negative
입력,제가 웬만하면 이런글 안다는데 앱 사용감이 최악이에요. 킬때마다 로그인해야하고 주문 정보 입력하다가 다른 앱 보면 기존정보가 다 날아가버려요. 앱때문에 주문하기 싫어져요,neutral
좋겠어요,식단 챙기기에 좋아요 그런데 배송추적이 안되는 오류가 있어요 ㅠ 최소한 운송장이라도 따로 표시됐으면 좋겠어요,positive
좋겠어요,맛도 퀄도 최고입니다. 불편했던 SNS 로그인도 이번 업데이트로 해결됐구요!! 하지만 메뉴 변경은 고객센터로 직접 전화해야 하니 많이 까다롭고 눈치가 보이더라구요. 메뉴 변경도 편하게 앱으로 신청할 수 있었으면 좋겠어요!,negative
좋겠어요,맛도좋고 할인도자주하면좋겠어요,neutral
좋겠어요,장바구니에서 수량 다시 선택할 때 새로고침 안 됐으면 좋겠어요.,neutral
좋겠어요,좋아요 더더 맛있는 음식 올라왔으면 좋겠어요,positive
좋겠어요,엡데이트 이후 리뷰에 사진만 올릴려고 하면 앱이 자꾸 꺼지네요. 다른 이용자분들은 괜찮으신지..얼른 수정되었으면 좋겠어요,neutral
좋겠어요,식품 종류가 더 많으면 좋겠어요. 가격대는 높은 편인데 할인 자주 하고 할인 정보 홍보해줬으면 좋겠어요. 평소 제빵류가 맛있어서 자주 구매했네요,neutral
좋겠어요,정말 좋습니다. 음식이 더 다양했으면 좋겠어요.,neutral
좋겠어요,맛은 물론이고 몸에 좋은 재료로 음식을 만들었다는 느낌이 듭니다 ㅋㅋ 정기주문해서 먹고있는데 앞으로 이벤트를 자주해주시면 좋겠어요 !ㅋㅋㅋ,neutral
좋겠어요,어플 화면 구성은 깔끔하고 보기좋습니다 좀더 다양한 품목이 많이 생겼으면 좋겠어요 앞으로 더욱 좋아지길 기대해봅니다~^^,positive
