작성자,댓글,좋아요수,작성일
@햇쌀-s7g,"불켜놓고 나갔다가 다시들어와 영상끄고 불끄고 폰챙기고 문잠그고 출근.

점심먹고 고래밥까지 ㅋㅋ
저녁은 진수성찬으로 드셨길요^^",0,2025-04-21T05:39:27Z
@Chae-q9q,후라이팬이 코팅이 잘돼있는 것 같다.. 정보 좀 주세요❤,0,2025-04-20T20:14:45Z
@kimsm010,이뿌다,0,2025-04-20T11:39:32Z
@윤희정-u4c,ㅋ 너무 웃겨요😆,0,2025-04-20T03:24:28Z
@물빛-s4m,이런 성격 너무 부럽네요 ~~~,0,2025-04-20T00:22:37Z
@jungmiyoon7087,"아는 맛이 더 무서워 ❤
ㅋㅋㅋㅋ멘트 너무 웃김",0,2025-04-19T14:42:32Z
@프로불편러-b9w,"바빠 디지시겠지만.. ㅋ
빠른걸음이지 절대 뛰지 않고 층간소음 제로에 도전하는 뛰어난 시민의식!",0,2025-04-19T04:27:18Z
@GinaChung,"하하하, 마지막 똘똘 뭉쳐 한입에 쏙...",0,2025-04-18T20:58:55Z
@연서-u8g,항상 생각하는 건데 옷을 너무 잘 입는다... 멋있어요,0,2025-04-18T18:13:10Z
@supersupersupershy,이 시큰둥한 나레이션 중독적….,0,2025-04-18T16:15:00Z
@MariaH-gn8od,아 진짜 말투 넘 웃겨요 재밌게 잘 보고 있어요^^,0,2025-04-18T12:39:33Z
@배곮,현실적이여서 넘좋네여😂,8,2025-04-17T14:39:40Z
@최윤예-y7i,무심한 나레이션...실패없죠 ㅋㅋ,0,2025-04-17T14:30:33Z
@쏭쏭-o6g,스팸 간장안넣어도 짠데 간장까지넣네..,0,2025-04-17T14:29:24Z
@jasonham5036,그와중애 구두 이쁘네요,0,2025-04-17T12:59:21Z
@은수아빠-j6v,볼수록 김지혜씨 닮았어요. 갈갈이 박준형 와이프,0,2025-04-17T05:34:26Z
@JiminJung-u4z,이러니 살찌지 아이구,0,2025-04-16T22:38:02Z
@삐융삐융-n2k,표정이 진짜 직장인 표정이야,0,2025-04-16T16:22:41Z
@체리쉬-z3r,아니근뎈ㅋㅋㅋㅋㅋㅋㅋ 외국에 계신지 모를만큼 온통 한국음식들 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ,0,2025-04-16T15:17:02Z
@여행하는사막여우-k4s,말투ㅗㅁ고쳐봐요  알고리즘에 뜨면 등신같아서스트레스유발되요 내용은좋아요,0,2025-04-16T14:15:54Z
@순돌26,"스팸, 나도 바로 일어나서 슬라이스 해 둬야징~~~♡",0,2025-04-16T13:52:20Z
@1OwO7414,고래밥 침투력무엇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2025-04-16T13:46:56Z
@stella65029,"저렇게먹으면안돼요.
야채는하나도없고",0,2025-04-16T12:50:34Z
@lim3982,"이분 구찬다는거는 말뿐입니다.
엄청 부지런하신 분...
손 보면 압니다.",0,2025-04-16T12:39:51Z
@sunshine_l,매력있어❤,0,2025-04-16T09:42:56Z
@websterkoh8919,내가 밥 해준다니까~,0,2025-04-16T07:47:25Z
@보스김,코리아가 아니네요,0,2025-04-16T04:13:48Z
@마이찬-e4x,말투!,0,2025-04-16T01:16:35Z
@진의스피치잉글리쉬,예쁘다,0,2025-04-15T23:46:01Z
@레인보우브릿지23,스팸소분은 어떻게 하세요?,0,2025-04-15T23:10:27Z
@레인보우브릿지23,ㅋㅋ 개그맨 같아 왜이리 말투가 재밌어요,0,2025-04-15T23:09:29Z
@웬만아저씨,플로리다로 시집간 살림꾼 윈터,0,2025-04-15T09:51:50Z
@서나-e2l,유튜버 알간지님 목소리같아요!!,0,2025-04-15T07:48:15Z
@빵돌이-d1z,말투는 아~귀찮아! 대충 대충 이런스타일인데..몸과 손은 복잡한거 간단하게 만드는 요리사임.,0,2025-04-15T06:03:13Z
@s2rachel981,아놔 진짜 저 비닐 봉지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 매력쩔어 ㅋㅋㅋ,0,2025-04-15T02:31:54Z
@newrich1970,계란던지는거 박력있어요 ㅋ ㅋㅋ,0,2025-04-15T01:50:36Z
@도파민영어TV-s3e,볼때마다 웃겨서 자주 뵙게 되네요 ❤❤,0,2025-04-15T01:29:05Z
@lifeoftina1800,It threw me off watching a Korean style vlog with Korean ingredients but the background is american 😂,0,2025-04-14T22:25:45Z
@롸켓-v9z,다리떠는게 킬포  ㅋㅋㅋ,0,2025-04-14T18:26:18Z
@spesest11,미국에는 우리나라 같은 스팸 없는데 어떤 스팸 쓰시나요?,0,2025-04-14T17:38:05Z
@jessicalee7291,다리에 살은 안 찌실듯😂,0,2025-04-14T17:01:38Z
@믿음-i1y,"스팸에랩에 입맛뚝
차라리 야채를 씹어먹어라",0,2025-04-14T16:41:03Z
@inare_diary,조아써 내일 아침메뉴닷!,0,2025-04-14T15:46:48Z
@용이-g2w,목메여... 계란국 마렵다...,0,2025-04-14T15:21:32Z
@고세찬,목소리톤,0,2025-04-14T14:54:25Z
@oh.y.b,"멘트와 영상이 찰떡이네요~^^
잘보고 갑니다😂",1,2025-04-14T13:25:02Z
@Oming-n9i,귀여우심😊😊,0,2025-04-14T12:53:37Z
@행복-d1d,혼자살자😂,1,2025-04-14T12:46:35Z
@belle_-_-,말투가 너무 좋으심ㅎㅎㅎ 뭔가 무심한데 중독적,0,2025-04-14T11:09:08Z
@sanbbong4903,근데 고래밥은 뭔데,0,2025-04-14T10:11:32Z
@고은-e3g,근데ㅡ궁금 한데 고래밥은 왜 싸 가셨나요?!??ㅋ,0,2025-04-13T16:45:23Z
@빌리맘80,"발떠는게 이제 너무 귀엽게만 느껴져요 ㅋㅋ
우리 초5 아들도 해주거 싶은 주먹밥이네요 😊",0,2025-04-13T15:16:29Z
@코딩-j6w,소분여왕..,0,2025-04-13T14:18:28Z
@에르메스-z7p,계란은 흰색만 먹나요?,0,2025-04-13T12:34:25Z
@힐튼개미,다른데서 나온 레시피,0,2025-04-13T12:18:06Z
@Reneleah0915,"언니의
시그니처는 다리떨기
ㅋㅋㅋㅋㅋ",0,2025-04-13T08:46:40Z
@지니요-h6r,스팸 소분 👍,0,2025-04-13T08:41:38Z
@인생봄날-k7h,"쿠쿠 밥솥 미국 수출용인데...
아메리카인가 보네..",0,2025-04-13T07:41:02Z
@llllllllllillllllllll-04,계란껍질 냅다 던지는거 귀여움 ㅋㅋㅋㅋ,0,2025-04-13T07:07:09Z
@yunjs1973,진짜손으로꽝뭉쳐서먹는마지막 재미짱,0,2025-04-13T06:03:03Z
@inaj1335,학c ㅋㅋㅋㅋㅋ,0,2025-04-13T04:35:03Z
@godmeyoung,저 스팸 졸일 때 매실액이랑 물 약간 같이 넣어서 졸이면 극락,0,2025-04-13T00:26:17Z
@msoh3075,어라? 신고 나간 신발이 저 갈색 로퍼가 아니었는데?!🤔🧐😁,0,2025-04-12T23:39:49Z
@유연숙-m8y,한아름 봉다리에 ㅋㅋㅋ 맛만 좋으면 돼 ㅡ미국 실용주의자,0,2025-04-12T23:30:07Z
@ToBeTotoz,언니 닮고 싶어여...,0,2025-04-12T13:48:35Z
@김션-w1x,계란 껍질 어디로 던지시는거에요 ㅋㅋㅋ,0,2025-04-12T11:12:58Z
@youngokim8495,"ㅎㅎㅎ H 마트 비닐 봉다리. ㅋㅋㅋ
요즘은 종이봉투 주든데..
봉다리로 다시 돌아가면 너무 좋겠는데..
배고파서 스팸에 김싸먹어야겠네😂😂😂",0,2025-04-12T10:52:27Z
@말티흰둥,언니 다른이야긴데 신고있는 워커 정보좀 주실 수 있나여..❤,0,2025-04-12T08:30:11Z
@lkshwvhskana,ㅋㅋㄱ비비다가 쏟는거 공감ㅋㅋㄱㅋ,0,2025-04-12T08:00:20Z
@최상철-n6n,ㅋㅋㅋ설명이 아주 끝내줘요~~ㅋㅋ😂😂,0,2025-04-12T07:53:03Z
@re-create6662,맛난거 먹으면서 다리떨기운동하는 일석2조군,0,2025-04-12T06:08:46Z
@김지영-r8g3x,미인이세요😊,0,2025-04-11T17:40:46Z
@황숙자-r9o,😅왔~써요~~그시간 ㅎㅎ,0,2025-04-11T16:49:46Z
@easycafe6963,이러다가 군대 봉지밥까지 나올지도...,0,2025-04-11T16:19:34Z
